,jordkvalitet,kartleggingsmetode,verifiseringsdato,målemetode,nøyaktighet,fylkeid,komid
139,1,D,99990101,45,0,42,4213
140,1,D,99990101,45,0,42,4213
141,1,D,99990101,45,0,42,4213
142,1,D,99990101,45,0,42,4213
143,1,D,99990101,45,0,42,4213
144,1,D,99990101,45,0,42,4213
145,1,D,99990101,45,0,42,4213
146,2,D,99990101,45,0,42,4213
147,1,D,99990101,45,0,42,4213
148,2,D,99990101,45,0,42,4213
149,1,D,99990101,45,0,42,4213
150,1,D,99990101,45,0,42,4213
151,3,D,99990101,45,0,42,4213
152,1,D,99990101,45,0,42,4213
153,1,D,99990101,45,0,42,4213
154,2,D,99990101,45,0,42,4213
155,1,D,99990101,45,0,42,4213
156,1,D,99990101,45,0,42,4213
157,2,D,20000817000000,22,0,42,4213
158,2,D,20000817000000,22,0,42,4213
159,1,D,20000817000000,22,0,42,4213
160,1,D,20000817000000,22,0,42,4213
161,1,D,20000817000000,22,0,42,4213
162,2,D,20000817000000,22,0,42,4213
163,2,D,20001113000000,22,0,42,4213
164,2,D,20001113000000,22,0,42,4213
165,2,D,20000817000000,22,0,42,4213
166,1,D,20000817000000,22,0,42,4213
167,2,D,20000817000000,22,0,42,4213
168,1,D,20001214000000,22,0,42,4213
169,1,D,99990101,82,0,42,4201
170,1,D,99990101,45,0,42,4201
171,1,D,99990101,45,0,42,4201
172,1,D,99990101,45,0,42,4201
173,1,D,99990101,45,0,42,4201
174,2,D,99990101,45,0,42,4201
175,1,D,99990101,45,0,42,4205
176,1,D,99990101,45,0,42,4205
177,2,D,99990101,45,0,42,4205
178,2,D,99990101,45,0,42,4205
179,1,D,99990101,45,0,42,4205
180,2,D,99990101,45,0,42,4205
181,3,D,99990101,45,0,42,4205
182,1,D,99990101,45,0,42,4205
183,1,D,99990101,45,0,42,4205
184,3,D,99990101,45,0,42,4205
185,3,D,99990101,45,0,42,4205
186,3,D,99990101,45,0,42,4205
187,2,D,99990101,45,0,42,4205
188,1,D,99990101,45,0,42,4205
189,3,D,99990101,45,0,42,4205
190,1,D,99990101,45,0,42,4205
191,1,D,99990101,45,0,42,4205
192,1,D,99990101,45,0,42,4205
193,1,D,99990101,45,0,42,4205
194,1,D,99990101,45,0,42,4205
195,1,D,99990101,45,0,42,4205
196,1,D,99990101,45,0,42,4205
197,1,D,99990101,45,0,42,4205
198,1,D,99990101,45,0,42,4205
199,3,D,99990101,45,0,42,4205
200,1,D,99990101,45,0,42,4205
201,1,D,99990101,45,0,42,4205
202,3,D,99990101,45,0,42,4205
203,1,D,99990101,45,0,42,4205
204,1,D,99990101,45,0,42,4205
205,1,D,99990101,45,0,42,4205
206,1,D,99990101,45,0,42,4205
207,1,D,99990101,45,0,42,4205
208,3,D,99990101,45,0,42,4205
209,3,D,99990101,45,0,42,4205
210,2,D,99990101,45,0,42,4205
211,3,D,99990101,45,0,42,4205
212,2,D,99990101,45,0,42,4205
213,2,D,99990101,45,0,42,4205
214,2,D,99990101,45,0,42,4205
215,1,D,99990101,45,0,42,4205
216,2,D,99990101,45,0,42,4205
217,2,J,20190211000000,0,0,42,4205
218,2,J,20190211000000,0,0,42,4205
219,2,J,20190211000000,0,0,42,4205
220,2,J,20190211000000,82,0,42,4205
221,2,J,20190211000000,82,0,42,4205
222,1,D,99990101,45,0,42,4205
223,2,D,99990101,45,0,42,4205
224,2,D,99990101,45,0,42,4205
225,2,D,99990101,45,0,42,4205
226,2,D,99990101,45,0,42,4205
227,2,D,99990101,45,0,42,4205
228,2,D,99990101,45,0,42,4205
229,1,D,99990101,45,0,42,4205
230,1,D,99990101,45,0,42,4205
231,1,D,99990101,45,0,42,4205
232,2,D,99990101,45,0,42,4205
233,2,D,99990101,82,0,42,4205
234,1,D,99990101,45,0,42,4205
235,1,D,99990101,45,0,42,4205
236,1,D,99990101,45,0,42,4205
237,1,D,99990101,45,0,42,4205
238,2,D,99990101,45,0,42,4205
239,1,D,99990101,45,0,42,4205
240,1,D,99990101,45,0,42,4205
241,2,D,99990101,45,0,42,4205
242,1,D,99990101,45,0,42,4205
243,1,D,99990101,45,0,42,4205
244,1,D,99990101,45,0,42,4205
245,2,D,99990101,45,0,42,4205
246,1,D,99990101,45,0,42,4205
247,1,D,99990101,45,0,42,4205
248,1,D,99990101,45,0,42,4205
249,1,D,99990101,45,0,42,4205
250,1,D,99990101,45,0,42,4205
251,2,D,99990101,45,0,42,4205
252,2,D,99990101,45,0,42,4205
253,1,D,99990101,45,0,42,4205
254,2,D,99990101,45,0,42,4205
255,2,D,99990101,45,0,42,4205
256,2,D,99990101,45,0,42,4205
257,1,D,99990101,45,0,42,4205
258,1,D,99990101,45,0,42,4205
259,1,D,99990101,45,0,42,4205
260,1,D,99990101,45,0,42,4205
261,3,D,99990101,45,0,42,4225
262,3,D,99990101,45,0,42,4225
263,3,D,99990101,45,0,42,4225
264,2,D,99990101,45,0,42,4225
265,1,D,99990101,45,0,42,4225
266,2,D,99990101,45,0,42,4225
267,1,D,99990101,45,0,42,4225
268,1,D,99990101,45,0,42,4225
269,2,D,99990101,45,0,42,4225
270,1,D,99990101,45,0,42,4225
271,3,D,99990101,45,0,42,4225
272,1,D,99990101,45,0,42,4225
273,1,D,99990101,45,0,42,4225
274,3,D,99990101,45,0,42,4225
275,2,D,99990101,45,0,42,4225
276,2,D,99990101,45,0,42,4225
277,1,D,99990101,45,0,42,4225
278,2,D,99990101,45,0,42,4225
279,2,D,99990101,45,0,42,4225
280,2,D,99990101,45,0,42,4225
281,2,D,99990101,45,0,42,4225
282,1,D,99990101,45,0,42,4225
